BARRAS;PRODUCTO;COSTO
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;7.377
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;4.451
7790520987464;LYSOFORM  x 450 D PACK  A MONTA•A;4.451
7790520987488;M MUS BLOQUE MOCHILA AZUL x 45G;8.327
7790520987600;GLADE PASTILLA INODOROS LAVANDA;2.900
7790520987617;GLADE SENSATIONS REP ALGOD‡N;11.629
7790520987891;M MUS ADHESIVO 30 gr LAVANDA;3.222
7790520988003;GLADE TOQUE FULL MA•ANA DE CAMPO;9.266
7790520988010;GLADE TOQUE REP. MA•ANA DE CAMPO;5.918
7790520988072;RAID ADVANCE REPUESTO;23.325
7790520988218;GLADE CAN.LIQ. FULL MA•ANA DE CAMPO;12.641
7790520988225;GLADE CAN.LIQ. REP. MA•ANA DE CAMPO;10.839
7790520988232;LYSOFORM CAN LIQ ELIM OLOR FULL;14.223
7790520988249;LYSOFORM CAN LIQ ELIM OLOR RPTO;11.618
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);24.079
7790520988355;GLADE AUTO REP VAINILLA;19.898
7790520988430;GLADE x 360 AERO MA•A DE CAMPO;5.894
7790520988454;GLADE x 360 AERO POTPURRI;5.894
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;11.429
7790520988478;GLADE TOQUE REP POTPOURRI ;5.918
7790520988492;GLADE PASTILLA INODOROS BRISA-PINO;2.900
7790520988515;GLADE PASTILLA INODOROS M DE CAMPO;2.900
7790520988539;RAID TAB AP C/CABLE ;26.464
7790520988546;GLADE CAN.LIQ. REP. BRISA DE CUMBRES;10.839
7790520988997;BLEM  x 450 D PACK FLORAL;8.743
7790520989000;BLEM  x 1L FLORAL;17.452
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;8.380
7790520989055;LYSOFORM MANUAL INOD GEL LAVANDA;8.380
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;10.872
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;4.954
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;8.510
7790520989109;M.MUS BA•O GATILLO 500;15.656
7790520989116;M.MUS BA•O D.PACK 500;7.048
7790520989123;M.MUS BA•O D.PACK 900;11.752
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;7.701
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;11.629
7790520989222;GLADE SENSATIONS REP HARMONY;11.629
7790520989239;GLADE SENSATIONS REP LAVANDA;11.629
7790520989246;GLADE GLASS SCENTS FULL HARMONY;21.933
7790520989277;GLADE x 360 AERO HARMONY;5.894
7790520989369;GLADE x 360 AERO ROCIO;5.894
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;5.894
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;9.266
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;5.918
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;22.030
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;22.030
7790520989604;M MUS ADHESIVO 30 gr MARINA;3.546
7790520989611;M MUS ADHESIVO 30 gr CITRICA;3.546
7790520989772;M MUS DISCOS ACTIVOS FULL LAVANDA;14.663
7790520989789;M MUS DISCOS ACTIVOS RPTO LAVANDA;11.773
7790520995508;GLADE ULTRA I LOVE YOU x 120;8.333
7799197300000;OFF CREMA x 60;3.612
7805050148244;LYSOFORM BLOQUE PARA MOCHILA;8.835
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;8.944
8002030138281;GLADE DEO SMILE VAINILLA-FISH;8.944
