 BARRAS;PRODUCTO;COSTO
7790520985781;GLADE x 360 AERO I LOVE YOU ;9.168
7790520985798;GLADE x 360 AERO CA DE ALGODON;9.168
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;9.168
7790520985811;GLADE  x 360 AERO ANTITABACO;9.168
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;18.162
7790520985934;MM PRELAVADO OXYPOWER DP x 500;9.530
7790520985941;LYSOFORM x 327 AERO CITRICO;16.627
7790520986030;MM ANTIG NARANJA GATILLO x 500;15.434
7790520986139;GLADE TOQUE REP. SPA;10.809
7790520986146;GLADE TOQUE REP. I LOVE YOU;10.809
7790520986153;RAID CASA Y JARDIN AERO x 360;19.828
7790520986160;RAID MAX JERINGA GEL x 3G;23.012
7790520986382;ECHO  x 500  D PACK;9.085
7790520986405;BLEM  x 450 D PACK INCOLORO;15.320
7790520986429;BLEM  x 450 D PACK ROJO;15.320
7790520986443;CERAMICOL  x 500 D PACK ;9.127
7790520986467;BLEM  x 500 D PACK REVOLUTION;18.916
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;8.014
7790520986504;LYSOFORM .x 450 D PACK BEBE;8.014
7790520986542;LYSOFORM  x 450 D PACK CITRICA;8.014
7790520986603;ECHO  x 1L TRADICIONAL;21.801
7790520986610;ECHO  x 1L LAVANDA;21.801
7790520986627;ECHO LISTO  x 1L LAVANDA;16.351
7790520986634;ECHO LISTO  x 1L FLORAL;16.351
7790520986641;ECHO LISTO  x 1L NARANJA;16.351
7790520986658;BLEM  x 1L INCOLORO;30.579
7790520986665;BLEM  x 1L ROJO;30.579
7790520986672;BLEM  x 1L NEGRO;30.579
7790520986689;BLEM  x 1L  ACRILICO;38.246
7790520986702;BLEM  x 1L REVOLUTION;33.010
7790520986726;CERAMICOL  x 1L INCOLORO;18.439
7790520986733;CERAMICOL  x 1L ROJO;18.439
7790520986740;CERAMICOL  x 1L NEGRO;18.439
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;22.454
7790520986764;GLADE  x 360 AERO SPA;9.168
7790520986771;RAID SIST EXTERM. CEBO EST x 6;19.780
7790520986788;LYSOFORM x 360 AERO CLASICO;16.627
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;16.627
7790520986801;LYSOFORM x 360 AERO BEBE;16.627
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;21.438
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;25.834
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;10.597
7790520986856;GLADE AUTO REP ACQUA;30.107
7790520987020;LYSOFORM BAÑO ACC TOTAL GAT X 500;22.641
7790520987037;LYSOFORM BAÑO ACC TOTAL D.PACK x 500;9.497
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;19.934
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;9.903
7790520987105;GLADE CANASTA P/ INOD FULL 4 FRAG;6.392
7790520987112;GLADE CANASTA P/ INOD REP 4 FRAG;5.267
7790520987136;GLADE AUTO REP I LOVE YOU;30.107
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;33.605
7790520987297;BLEM  x 400 AERO LAVANDA;21.353
7790520987358;MM ANTIG NARANJA D PACK x 900;12.707
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;32.486
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;9.168
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;10.809
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;12.492
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;11.068
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;8.014
7790520987464;LYSOFORM  x 450 D PACK  A MONTAÑA;8.014
7790520987488;M MUS BLOQUE MOCHILA AZUL x 45G;12.597
7790520987600;GLADE PASTILLA INODOROS LAVANDA;5.315
7790520987617;GLADE SENSATIONS REP ALGODÓN;20.762
7790520987891;M MUS ADHESIVO 30 gr LAVANDA;6.971
7790520988003;GLADE TOQUE FULL MAÑANA DE CAMPO;16.543
7790520988010;GLADE TOQUE REP. MAÑANA DE CAMPO;10.809
7790520988218;GLADE CAN.LIQ. FULL MAÑANA DE CAMPO;20.657
7790520988225;GLADE CAN.LIQ. REP. MAÑANA DE CAMPO;17.712
7790520988232;LYSOFORM CAN LIQ ELIM OLOR FULL;21.520
7790520988249;LYSOFORM CAN LIQ ELIM OLOR RPTO;17.577
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);38.693
7790520988355;GLADE AUTO REP VAINILLA;30.107
7790520988430;GLADE x 360 AERO MAÑA DE CAMPO;9.168
7790520988454;GLADE x 360 AERO POTPURRI;9.168
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;20.408
7790520988478;GLADE TOQUE REP POTPOURRI ;10.809
7790520988492;GLADE PASTILLA INODOROS BRISA-PINO;5.315
7790520988515;GLADE PASTILLA INODOROS M DE CAMPO;5.315
7790520988539;RAID TAB AP C/CABLE ;41.185
7790520988546;GLADE CAN.LIQ. REP. BRISA DE CUMBRES;17.712
7790520988997;BLEM  x 450 D PACK FLORAL;15.320
7790520989000;BLEM  x 1L FLORAL;30.579
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;12.908
7790520989055;LYSOFORM MANUAL INOD GEL LAVANDA;12.908
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;17.280
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;7.873
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;13.526
7790520989109;M.MUS BAÑO GATILLO 500;24.882
7790520989116;M.MUS BAÑO D.PACK 500;11.107
7790520989123;M.MUS BAÑO D.PACK 900;18.522
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;12.239
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;20.762
7790520989222;GLADE SENSATIONS REP HARMONY;20.762
7790520989239;GLADE SENSATIONS REP LAVANDA;20.762
7790520989246;GLADE GLASS SCENTS FULL HARMONY;34.846
7790520989277;GLADE x 360 AERO HARMONY;9.168
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;9.168
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;16.543
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;10.809
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;35.002
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;35.002
7790520989604;M MUS ADHESIVO 30 gr MARINA;6.971
7790520989611;M MUS ADHESIVO 30 gr CITRICA;6.971
7790520989772;M MUS DISCOS ACTIVOS FULL LAVANDA;22.182
7790520989789;M MUS DISCOS ACTIVOS RPTO LAVANDA;17.811
7790520995508;GLADE ULTRA I LOVE YOU x 120;12.275
7799197300000;OFF CREMA x 60;5.365
7805050148244;LYSOFORM BLOQUE PARA MOCHILA;13.609
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;13.785
8002030138281;GLADE DEO SMILE VAINILLA-FISH;13.785
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
