 BARRAS;PRODUCTO;COSTO;
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;9.114;
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;9.114;
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;9.114;
7790520985347;BAYGON JERINGA x 6G;29.253;
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;12.152;
7790520985515;GLADE ULTRA SPA x 120;12.152;
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;21.466;
7790520985743;GLADE  x 360 AERO LAVANDA;9.076;
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;9.076;
7790520985781;GLADE x 360 AERO I LOVE YOU ;9.076;
7790520985798;GLADE x 360 AERO CA DE ALGODON;9.076;
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;9.076;
7790520985811;GLADE  x 360 AERO ANTITABACO;9.076;
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;17.981;
7790520985934;MM PRELAVADO OXYPOWER DP x 500;9.434;
7790520985941;LYSOFORM x 327 AERO CITRICO;16.461;
7790520986030;MM ANTIG NARANJA GATILLO x 500;15.280;
7790520986139;GLADE TOQUE REP. SPA;10.701;
7790520986146;GLADE TOQUE REP. I LOVE YOU;10.701;
7790520986153;RAID CASA Y JARDIN AERO x 360;19.630;
7790520986160;RAID MAX JERINGA GEL x 3G;22.782;
7790520986382;ECHO  x 500  D PACK;8.994;
7790520986405;BLEM  x 450 D PACK INCOLORO;15.166;
7790520986429;BLEM  x 450 D PACK ROJO;15.166;
7790520986443;CERAMICOL  x 500 D PACK ;9.036;
7790520986467;BLEM  x 500 D PACK REVOLUTION;18.726;
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;7.934;
7790520986504;LYSOFORM .x 450 D PACK BEBE;7.934;
7790520986542;LYSOFORM  x 450 D PACK CITRICA;7.934;
7790520986603;ECHO  x 1L TRADICIONAL;21.583;
7790520986610;ECHO  x 1L LAVANDA;21.583;
7790520986627;ECHO LISTO  x 1L LAVANDA;16.187;
7790520986634;ECHO LISTO  x 1L FLORAL;16.187;
7790520986641;ECHO LISTO  x 1L NARANJA;16.187;
7790520986658;BLEM  x 1L INCOLORO;30.274;
7790520986665;BLEM  x 1L ROJO;30.274;
7790520986672;BLEM  x 1L NEGRO;30.274;
7790520986689;BLEM  x 1L  ACRILICO;37.863;
7790520986702;BLEM  x 1L REVOLUTION;32.680;
7790520986726;CERAMICOL  x 1L INCOLORO;18.254;
7790520986733;CERAMICOL  x 1L ROJO;18.254;
7790520986740;CERAMICOL  x 1L NEGRO;18.254;
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;22.230;
7790520986764;GLADE  x 360 AERO SPA;9.076;
7790520986771;RAID SIST EXTERM. CEBO EST x 6;19.582;
7790520986788;LYSOFORM x 360 AERO CLASICO;16.461;
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;16.461;
7790520986801;LYSOFORM x 360 AERO BEBE;16.461;
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;21.223;
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;25.576;
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;10.491;
7790520986856;GLADE AUTO REP ACQUA;29.806;
7790520987020;LYSOFORM BAÑO ACC TOTAL GAT X 500;22.415;
7790520987037;LYSOFORM BAÑO ACC TOTAL D.PACK x 500;9.402;
