 BARRAS;PRODUCTO;COSTO
7790520988232;LYSOFORM CAN LIQ ELIM OLOR FULL;18.622
7790520988249;LYSOFORM CAN LIQ ELIM OLOR RPTO;15.210
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);28.375
7790520988355;GLADE AUTO REP VAINILLA;26.053
7790520988430;GLADE x 360 AERO MA•A DE CAMPO;7.933
7790520988454;GLADE x 360 AERO POTPURRI;7.933
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;17.660
7790520988478;GLADE TOQUE REP POTPOURRI ;9.354
7790520988492;GLADE PASTILLA INODOROS BRISA-PINO;4.436
7790520988515;GLADE PASTILLA INODOROS M DE CAMPO;4.436
7790520988539;RAID TAB AP C/CABLE ;35.640
7790520988546;GLADE CAN.LIQ. REP. BRISA DE CUMBRES;15.327
7790520988997;BLEM  x 450 D PACK FLORAL;13.257
7790520989000;BLEM  x 1L FLORAL;26.462
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;10.770
7790520989055;LYSOFORM MANUAL INOD GEL LAVANDA;10.770
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;14.953
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;6.813
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;11.705
7790520989109;M.MUS BA•O GATILLO 500;21.532
7790520989116;M.MUS BA•O D.PACK 500;9.611
7790520989123;M.MUS BA•O D.PACK 900;16.028
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;10.592
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;18.118
7790520989222;GLADE SENSATIONS REP HARMONY;18.118
7790520989239;GLADE SENSATIONS REP LAVANDA;18.118
7790520989246;GLADE GLASS SCENTS FULL HARMONY;30.441
7790520989277;GLADE x 360 AERO HARMONY;7.933
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;7.933
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;14.315
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;9.354
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;30.577
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;30.577
7790520989604;M MUS ADHESIVO 30 gr MARINA;5.922
7790520989611;M MUS ADHESIVO 30 gr CITRICA;5.922
7790520989772;M MUS DISCOS ACTIVOS FULL LAVANDA;18.846
7790520989789;M MUS DISCOS ACTIVOS RPTO LAVANDA;15.132
7790520995508;GLADE ULTRA I LOVE YOU x 120;10.622
7799197300000;OFF CREMA x 60;4.643
7805050148244;LYSOFORM BLOQUE PARA MOCHILA;11.356
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;11.712
8002030138281;GLADE DEO SMILE VAINILLA-FISH;11.712
