 BARRAS;PRODUCTO;COSTO
7790520989116;M.MUS BA•O D.PACK 500;5.07487995
7790520989123;M.MUS BA•O D.PACK 900;8.46159615
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.060544
7790520984616;MM ANTIG. COCINA D PACK x 900;5.82097
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;5.6898745
7790520552006;MM ANTIG. COCINA GATILLO x 500;8.6481805
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;4.503419
7790520155047;MM MULTIUSO D PACK x 500;2.8585415
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;7.400712
7790520984623;MM MULTIUSO D PACK x 900;6.004009
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;6.160664
7790520550507;MM MULTIUSO REPUESTO x 500;4.8488845
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;9.453717
7790520000323;MM MULTIUSO GATILLO x 500;7.9440575
7790520986030;MM ANTIG NARANJA GATILLO x 500;9.0366849
7790520984371;MM ANTIG NARANJA REPUESTO x 500;5.68929735
7790520984524;MM ANTIG NARANJA D PACK x 500;3.1121577
7790520987358;MM ANTIG NARANJA D PACK x 900;6.0388029
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;11.6691485
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;5.3336905
7790520001221;MR MUSCULO CREMA x 450 LAVANDA;6.1812765
7790520001245;MR MUSCULO CREMA x 450 CITRUS;6.1812765
7790520001252;MR MUSCULO CREMA x 450 M CAMPO;6.1812765
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;6.1812765
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;8.7537165
7790520981967;MM LIMPIAHORNOS AERO x 400ML;12.741823
7790520001368;LYSOFORM PA•OS x 35u;9.587286
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;17.3928275
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;21.46998
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;14.3306345
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;12.227335
7790520985934;MM PRELAVADO OXYPOWER DP x 500;6.4154345
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;7.069263
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;14.3009525
7790520161055;OFF AEROSOL x 165;14.8090482
7790520001337;OFF AEROSOL PROT. INTENS. X 165;19.8343175
7799197300000;OFF CREMA x 60;3.6120472
0000077931276;OFF REPEL CREMA x 90 Extra Duraciïn;13.8352458
0000077900098;OFF KIDS CREMA X 90;13.8352458
7790520002303;OFF REPEL CREMA x200 ;11.4395883
7790520001603;OFF REPEL SPRAY STD BP x 200 E DURAC;22.7151496
7790520002402;OFF REPEL SPRAY STD BP x 200;17.3739125
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.1274698
7790520000347;RAID ESPIRALES VERDE x 12;3.3996754
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;4.0031221
7790520508485;RAID MMM x 400CM3;10.42755898
